# ћетэастанцы€ ћ≥нск, Ѕеларусь, WMO_ID=26850, выбарка з 19.09.2014 па 26.09.2015, Ґсе дн≥
#  адоҐка: ANSI
# ≤нфармацы€ прадастаҐлена сайтам "–эальны прагноз", rp5.by 
#  ал≥ ласка, пры выкарыстанн≥ даных, спасылайцес€ на названы сайт.
# јбазначэнн€ метэапараметраҐ гл€дзець па адрасу http://rp5.by/archive.php?wmo_id=26850&lang=be
#
"ћ€сцовы час Ґ горадзе ћ≥нск";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.07.2015 18:00";"23.8";"749.0";"769.1";"-0.2";"41";"¬ецер з паҐночна-паҐночна-Ґсходу";"4";"";"";"20Ц30%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"20Ц30%.";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"9.8";"";"";"";"";"";"";
"02.07.2015 15:00";"23.5";"749.2";"769.3";"0.1";"43";"¬ецер з поҐначы";"4";"";"";"50%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"50%.";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"10.3";"";"";"";"";"";"";
"02.07.2015 12:00";"20.3";"749.1";"769.4";"0.6";"55";"¬ецер з паҐночна-паҐночна-Ґсходу";"3";"";"";"60%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"60%.";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"11.0";"";"";"";"";"";"";
"02.07.2015 09:00";"18.0";"748.5";"768.9";"1.0";"70";"¬ецер з поҐначы";"2";"";"";"40%.";" ";"";"";"11.8";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"12.4";"";"";"";"";"";"";
"02.07.2015 06:00";"12.9";"747.5";"768.4";"0.7";"94";"¬ецер з поҐначы";"1";"";"";"10%  або меньш, але не 0";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"12.0";"";"";"";"";"";"";
"02.07.2015 03:00";"12.9";"746.8";"767.6";"0.6";"91";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"11.4";"";"";"";"";"";"";
"02.07.2015 00:00";"13.2";"746.2";"766.9";"1.0";"92";"¬ецер з паҐночнага захаду";"1";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"11.9";"";"";"";"";"";"";
"01.07.2015 21:00";"15.5";"745.2";"765.7";"1.3";"89";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"60%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"22.7";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"20Ц30%.";"1000-1500";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"13.7";"5.0";"12";"";"";"";"";
"01.07.2015 18:00";"20.8";"743.9";"764.1";"-0.1";"63";"¬ецер з паҐночнага захаду";"1";"";"";"70 Ц 80%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ћ≥вень (л≥Ґн≥).";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"50%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"13.5";"";"";"";"";"";"";
"01.07.2015 15:00";"21.4";"744.0";"764.0";"-0.2";"67";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"90  або больш, але не 100%";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"300-600";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"15.1";"";"";"";"";"";"";
"01.07.2015 12:00";"20.4";"744.2";"764.3";"0.0";"64";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"70 Ц 80%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"40%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"13.4";"";"";"";"";"";"";
"01.07.2015 09:00";"16.7";"744.2";"764.5";"0.4";"74";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"100%.";"ƒождж (незам€рзальны) нел≥Ґневы. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"14.1";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"1000-1500";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"";"15.0";"12.0";"—л€ды ападкаҐ";"12";"";"";"";"";
"01.07.2015 06:00";"15.0";"743.8";"764.2";"0.2";"86";"Ўтыль, ветру н€ма";"0";"";"";"90  або больш, але не 100%";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"90  або больш, але не 100%";"1000-1500";"";"";"15.0";"12.6";"";"";"";"";"";"";
"01.07.2015 03:00";"15.7";"743.6";"764.1";"0.1";"88";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"13.7";"";"";"";"";"";"";
"01.07.2015 00:00";"15.9";"743.5";"763.9";"0.5";"84";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"13.2";"";"";"";"";"";"";
"30.06.2015 21:00";"20.1";"743.0";"763.1";"-0.2";"67";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";"¬облак≥, Ґ вогуле, рассейваюцца або станов€цца меньш разв≥тым≥. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"";"25.9";"";"";"";"";"";"15.0";"13.8";"0.5";"12";"";"";"";"";
"30.06.2015 18:00";"20.0";"743.2";"763.3";"0.0";"78";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"90  або больш, але не 100%";"ƒождж (незам€рзальны) нел≥Ґневы. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"90  або больш, але не 100%";"1000-1500";"";"";"15.0";"16.0";"";"";"";"";"";"";
"30.06.2015 15:00";"21.4";"743.2";"763.2";"0.2";"55";"¬ецер з захаду";"1";"";"";"100%.";"ƒождж незам€рзальны бесперапынны слабы Ґ час наз≥ранн€. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"10.0";"12.0";"";"";"";"";"";"";
"30.06.2015 12:00";"23.6";"743.0";"763.0";"0.0";"44";"¬ецер з захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"50%.";"1000-1500";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"10.6";"";"";"";"";"";"";
"30.06.2015 09:00";"20.7";"743.0";"763.1";"0.1";"54";"Ўтыль, ветру н€ма";"0";"";"";"20Ц30%.";" ";"";"";"13.1";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"11.1";"";"";"";"";"";"";
"30.06.2015 06:00";"13.8";"742.9";"763.5";"-0.1";"74";"Ўтыль, ветру н€ма";"0";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"9.3";"";"";"";"";"";"";
"30.06.2015 03:00";"14.1";"743.0";"763.6";"0.1";"74";"Ўтыль, ветру н€ма";"0";"";"";"90  або больш, але не 100%";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"90  або больш, але не 100%";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"9.4";"";"";"";"";"";"";
"30.06.2015 00:00";"16.8";"742.9";"763.3";"0.6";"60";"Ўтыль, ветру н€ма";"0";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"9.0";"";"";"";"";"";"";
"29.06.2015 21:00";"21.2";"742.3";"762.4";"0.1";"41";"Ўтыль, ветру н€ма";"0";"";"";"60%.";" ";"";"";"";"25.4";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"60%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"7.4";"";"";"";"";"";"";
"29.06.2015 18:00";"23.7";"742.2";"762.1";"-0.4";"34";"¬ецер з поҐначы";"1";"";"";"60%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"40%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"7.0";"";"";"";"";"";"";
"29.06.2015 15:00";"23.9";"742.6";"762.6";"-0.6";"37";"¬ецер з паҐночнага захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"50%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"8.1";"";"";"";"";"";"";
"29.06.2015 12:00";"20.9";"743.2";"758.8";"-0.1";"41";"¬ецер з поҐначы";"2";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"70 Ц 80%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"7.0";"";"";"";"";"";"";
"29.06.2015 09:00";"19.8";"743.3";"763.5";"0.4";"47";"Ўтыль, ветру н€ма";"0";"";"";"40%.";" ";"";"";"10.9";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"8.2";"";"";"";"";"";"";
"29.06.2015 06:00";"10.9";"742.9";"763.8";"0.2";"76";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.8";"";"";"";"";"";"";
"29.06.2015 03:00";"12.1";"742.7";"763.5";"0.3";"70";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.7";"";"";"";"";"";"";
"29.06.2015 00:00";"15.5";"742.4";"762.9";"0.8";"54";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.2";"";"";"";"";"";"";
"28.06.2015 21:00";"19.4";"741.6";"761.7";"0.8";"42";"¬ецер з поҐначы";"2";"";"";"20Ц30%.";" ";"";"";"";"22.3";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"6.2";"";"";"";"";"";"";
"28.06.2015 18:00";"22.3";"740.8";"760.8";"-0.1";"35";"¬ецер з паҐночна-паҐночна-захаду";"3";"";"";"40%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"5.9";"";"";"";"";"";"";
"28.06.2015 15:00";"21.6";"740.9";"760.9";"0.2";"38";"¬ецер з поҐначы";"2";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"70 Ц 80%.";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"6.7";"";"";"";"";"";"";
"28.06.2015 12:00";"20.0";"740.7";"760.8";"0.1";"45";"¬ецер з паҐночнага захаду";"2";"";"";"60%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"60%.";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"7.8";"";"";"";"";"";"";
"28.06.2015 09:00";"17.5";"740.6";"760.9";"0.3";"62";"¬ецер з захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"10.4";"";"";"";"";"";"";"15.0";"10.2";"";"";"";"";"";"";
"28.06.2015 06:00";"10.4";"740.3";"761.1";"0.2";"84";"¬ецер з захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"7.7";"";"";"";"";"";"";
"28.06.2015 03:00";"11.2";"740.1";"760.9";"0.5";"76";"¬ецер з захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"7.0";"";"";"";"";"";"";
"28.06.2015 00:00";"13.5";"739.6";"760.0";"0.8";"62";"¬ецер з захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"6.4";"";"";"";"";"";"";
"27.06.2015 21:00";"18.0";"738.8";"759.0";"0.5";"44";"¬ецер з паҐночнага захаду";"2";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"21.6";"";"";"";"";"";"15.0";"5.6";"";"";"";"";"";"";
"27.06.2015 18:00";"21.6";"738.3";"758.2";"-0.2";"36";"¬ецер з паҐночна-паҐночна-захаду";"3";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"5.9";"";"";"";"";"";"";
"27.06.2015 15:00";"20.5";"738.5";"758.5";"-0.2";"38";"¬ецер з паҐночнага захаду";"3";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"5.6";"";"";"";"";"";"";
"27.06.2015 12:00";"18.8";"738.7";"758.8";"0.2";"46";"¬ецер з паҐночнага захаду";"2";"";"";"40%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"6.8";"";"";"";"";"";"";
"27.06.2015 09:00";"16.8";"738.5";"758.8";"-0.4";"61";"¬ецер з паҐночнага захаду";"1";"";"";"20Ц30%.";" ";"";"";"11.4";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"9.3";"";"";"";"";"";"";
"27.06.2015 06:00";"11.6";"738.9";"759.5";"-0.4";"83";"Ўтыль, ветру н€ма";"0";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"8.8";"";"";"";"";"";"";
"27.06.2015 03:00";"11.7";"739.3";"760.0";"-0.8";"78";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"8.0";"";"";"";"";"";"";
"27.06.2015 00:00";"14.0";"740.1";"760.6";"0.0";"72";"Ўтыль, ветру н€ма";"0";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"9.0";"";"";"";"";"";"";
"26.06.2015 21:00";"18.7";"740.1";"760.3";"-0.4";"57";"¬ецер з захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"22.3";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"9.9";"";"";"";"";"";"";
"26.06.2015 18:00";"21.7";"740.5";"760.5";"-0.7";"52";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"40%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"11.5";"";"";"";"";"";"";
"26.06.2015 15:00";"21.9";"741.2";"761.2";"-0.7";"50";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"60%.";"1000-1500";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"11.1";"";"";"";"";"";"";
"26.06.2015 12:00";"20.9";"741.9";"762.0";"-0.7";"54";"¬ецер з захаду-паҐночна-захаду";"2";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"60%.";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"20.0";"11.3";"";"";"";"";"";"";
"26.06.2015 09:00";"18.3";"742.6";"762.9";"-0.9";"58";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"10.8";"";"";"";"";"";"";"15.0";"9.8";"";"";"";"";"";"";
"26.06.2015 06:00";"10.8";"743.5";"764.4";"-0.2";"88";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"8.8";"";"";"";"";"";"";
"26.06.2015 03:00";"11.7";"743.7";"764.5";"-0.2";"83";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"8.9";"";"";"";"";"";"";
"26.06.2015 00:00";"14.6";"743.9";"764.5";"-0.2";"70";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"9.2";"";"";"";"";"";"";
"25.06.2015 21:00";"18.7";"744.1";"764.3";"0.2";"54";"¬ецер з паҐночна-паҐночна-захаду";"1";"";"";"40%.";" ";"";"";"";"23.4";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"9.2";"";"";"";"";"";"";
"25.06.2015 18:00";"22.5";"743.9";"763.9";"-0.1";"48";"¬ецер з паҐночна-паҐночна-захаду";"2";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"60%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"11.0";"";"";"";"";"";"";
